DiseaseName,AssociatedGenes
Cornea plana 2,KERA
Corneal dystrophy,
Corneal dystrophy-perceptive deafness syndrome,SLC4A11
"Corneal dystrophy, Fuchs endothelial 1",COL8A2
"Corneal dystrophy, Fuchs endothelial, 3",TCF4
"Corneal dystrophy, Fuchs endothelial, 4",SLC4A11
"Corneal dystrophy, Fuchs endothelial, 6",ZEB1
"Corneal dystrophy, Fuchs endothelial, 8",AGBL1
"Corneal dystrophy, lattice type 3A",TGFBI
"Corneal dystrophy, posterior polymorphous 4",GRHL2
"Corneal dystrophy, posterior polymorphous, 2",COL8A2
Corneal endothelial dystrophy,
Corneal epithelial dystrophy,TGFBI
Cornelia de Lange syndrome 1,NIPBL
Cornelia de Lange syndrome 3,SMC3
Cornelia de Lange syndrome 4,RAD21
Cornelia de Lange syndrome 5,HDAC8
"Coronary artery disease, autosomal dominant 2",LRP6
"Coronary artery disease, autosomal dominant, 1",MEF2A
Coronary heart disease 1,CX3CR1
Coronary heart disease 6,MMP3
Coronary heart disease 7,CD36
Corpus callosum agenesis-abnormal genitalia syndrome,ARX
"Corpus callosum, agenesis of, with facial anomalies and cerebellar ataxia",FRMD4A
"Corpus callosum, agenesis of, with mental retardation, ocular coloboma, and micrognathia",IGBP1
"Corpus callosum, partial agenesis of, X-linked",L1CAM
"Cortical dysplasia, complex, with other brain malformations 1",TUBB3
"Cortical dysplasia, complex, with other brain malformations 10",APC2
"Cortical dysplasia, complex, with other brain malformations 2",KIF5C
"Cortical dysplasia, complex, with other brain malformations 3",KIF2A
"Cortical dysplasia, complex, with other brain malformations 4",TUBG1
"Cortical dysplasia, complex, with other brain malformations 5",TUBB2A
"Cortical dysplasia, complex, with other brain malformations 6",TUBB
"Cortical dysplasia, complex, with other brain malformations 9",CTNNA2
"Cortical malformations, occipital",LAMC3
Corticosteroid-binding globulin deficiency,SERPINA6
Corticosterone 18-monooxygenase deficiency,CYP11B2
Corticosterone methyloxidase type 2 deficiency,CYP11B2
Cortisone reductase deficiency 1,H6PD
Cortisone reductase deficiency 2,HSD11B1
Costello syndrome,HRAS
Cowchock syndrome,AIFM1
Cowden syndrome 1,PTEN
Cowden syndrome 4,KLLN
Cowden syndrome 5,PIK3CA
Cowden syndrome 6,AKT1
Cowden syndrome 7,SEC23B
Coxa plana,COL2A1
Coxopodopatellar syndrome,TBX4
"Craniodiaphyseal dysplasia, autosomal dominant",SOST
Cranioectodermal dysplasia,
Cranioectodermal dysplasia 1,IFT122
Cranioectodermal dysplasia 2,WDR35
Cranioectodermal dysplasia 3,IFT43
Cranioectodermal dysplasia 4,WDR19
Craniofacial-deafness-hand syndrome,PAX3
Craniofacial anomalies and anterior segment dysgenesis syndrome,VSX1
"Craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome",TMCO1
Craniofrontonasal syndrome,EFNB1
Craniolenticulosutural dysplasia,SEC23A
"Craniometaphyseal dysplasia, autosomal dominant",ANKH
"Craniometaphyseal dysplasia, autosomal recessive",GJA1
Craniosynostosis 1,"TWIST1, "
Craniosynostosis 2,MSX2
Craniosynostosis 3,TCF12
Craniosynostosis 4,ERF
"Craniosynostosis 5, susceptibility to",ALX4
Craniosynostosis 6,ZIC1
Craniosynostosis 7,SMAD6
Craniosynostosis and dental anomalies,IL11RA
Craniosynostosis syndrome,
Creatine transporter deficiency,SLC6A8
Creutzfeldt-Jakob disease,
"Creutzfeldt-Jakob Disease, Familial","HLA-DQB1, PRNP"
Crigler-Najjar syndrome,
Crigler-Najjar syndrome type 1,UGT1A1
"Crigler-Najjar syndrome, type II",UGT1A1
Cromer blood group system,CD55
Crouzon syndrome,FGFR2
Crouzon syndrome with acanthosis nigricans,FGFR3
Cryohydrocytosis,SLC4A1
"Cryptophthalmos, unilateral or bilateral, isolated",FREM2
Cryptorchidism,INSL3
Culler-Jones syndrome,GLI2
"Curly hair, ankyloblepharon, nail dysplasia syndrome",RIPK4
Currarino triad,MNX1
Curry-Hall syndrome,"EVC, EVC2"
Curry-Jones syndrome,SMO
Cushing syndrome,
Cushing syndrome due to macronodular adrenal hyperplasia,
Cutaneous malignant melanoma 1,"BRAF, STK11"
Cutaneous malignant melanoma 2,CDKN2A
Cutaneous malignant melanoma 3,CDK4
Cutaneous malignant melanoma 5,MC1R
Cutaneous malignant melanoma 6,XRCC3
Cutaneous malignant melanoma 8,MITF
Cutaneous malignant melanoma 9,TERT
"Cutaneous telangiectasia and cancer syndrome, familial",ATR
Cutis laxa with osteodystrophy,ATP6V0A2
"Cutis laxa with severe pulmonary, gastrointestinal, and urinary abnormalities",LTBP4
"Cutis laxa, autosomal dominant",
"Cutis laxa, autosomal dominant 1",ELN
"Cutis laxa, autosomal dominant 2",FBLN5
"Cutis laxa, autosomal dominant 3",ALDH18A1
"Cutis laxa, autosomal recessive",
"Cutis laxa, autosomal recessive IIIA",ALDH18A1
"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIE",LTBP1
"Cutis laxa, X-linked",ATP7A
"Cyanosis, transient neonatal",HBG2
Cyclical neutropenia,ELANE
"Cylindromatosis, familial",CYLD
CYP2C19-related poor drug metabolism,CYP2C19
Cystathioninuria,CTH
Cystic fibrosis,"CFTR, FCGR2A, TGFB1"
Cystinosis,
Cystinuria,"SLC3A1, SLC7A9"
Cytosolic phospholipase-A2 alpha deficiency associated bleeding disorder,PLA2G4A
"Czech dysplasia, metatarsal type",COL2A1
D-2-hydroxyglutaric aciduria 1,D2HGDH
D-2-hydroxyglutaric aciduria 2,IDH2
D-Glyceric aciduria,GLYCTK
Dabrafenib response,BRAF
Danon disease,LAMP2
De Lange syndrome,"BRD4, HDAC8, RAD21, "
DE SANCTIS-CACCHIONE SYNDROME,ERCC6
Deafness-infertility syndrome,"CATSPER2, STRC"
Deafness and myopia,SLITRK6
Deafness dystonia syndrome,TIMM8A
Deafness with labyrinthine aplasia microtia and microdontia (LAMM),FGF3
"Deafness, autosomal dominant 1",DIAPH1
"Deafness, autosomal dominant 10",EYA4
"Deafness, autosomal dominant 11",MYO7A
"Deafness, autosomal dominant 12",TECTA
"Deafness, autosomal dominant 13",COL11A2
"Deafness, autosomal dominant 15",POU4F3
"Deafness, autosomal dominant 20",ACTG1
"Deafness, autosomal dominant 23",SIX1
"Deafness, autosomal dominant 25",SLC17A8
"Deafness, autosomal dominant 27",REST
"Deafness, autosomal dominant 28",GRHL2
"Deafness, autosomal dominant 2b",GJB3
"Deafness, autosomal dominant 34, with or without inflammation",NLRP3
"Deafness, autosomal dominant 36",TMC1
"Deafness, autosomal dominant 37",COL11A1
"Deafness, autosomal dominant 39, with dentinogenesis imperfecta 1",DSPP
"Deafness, autosomal dominant 3a",GJB2
"Deafness, autosomal dominant 3b",GJB6
"Deafness, autosomal dominant 4",MYH14
"Deafness, autosomal dominant 40",CRYM
"Deafness, autosomal dominant 41",P2RX2
"Deafness, autosomal dominant 44",CCDC50
"Deafness, autosomal dominant 4b",CEACAM16
"Deafness, autosomal dominant 5",GSDME
"Deafness, autosomal dominant 50",MIR96
"Deafness, autosomal dominant 56",TNC
"Deafness, autosomal dominant 64",DIABLO
"Deafness, autosomal dominant 65",TBC1D24
"Deafness, autosomal dominant 66",CD164
"Deafness, autosomal dominant 67",OSBPL2
"Deafness, autosomal dominant 68",HOMER2
"Deafness, autosomal dominant 69",KITLG
"Deafness, autosomal dominant 7",LMX1A
"Deafness, autosomal dominant 70",MCM2
"Deafness, autosomal dominant 71",DMXL2
"Deafness, autosomal dominant 72",SLC44A4
"Deafness, autosomal dominant 73",PTPRQ
"Deafness, autosomal dominant 74",PDE1C
"Deafness, autosomal dominant 75",TRRAP
"Deafness, autosomal dominant 76",PLS1
"Deafness, autosomal dominant 77",ABCC1
"Deafness, autosomal dominant 78",SLC12A2
"Deafness, autosomal dominant 79",SCD5
"Deafness, autosomal dominant 80",GREB1L
"Deafness, autosomal dominant 9",COCH
"Deafness, autosomal dominant nonsyndromic sensorineural 3",
"Deafness, autosomal recessive 100",PPIP5K2
"Deafness, autosomal recessive 101",GRXCR2
"Deafness, autosomal recessive 102",EPS8
"Deafness, autosomal recessive 103",CLIC5
"Deafness, autosomal recessive 104",RIPOR2
"Deafness, autosomal recessive 106",EPS8L2
"Deafness, autosomal recessive 107",WBP2
"Deafness, autosomal recessive 108",ROR1
"Deafness, autosomal recessive 109",ESRP1
"Deafness, autosomal recessive 110",COCH
"Deafness, autosomal recessive 111",MPZL2
"Deafness, autosomal recessive 112",BDP1
"Deafness, autosomal recessive 113",CEACAM16
"Deafness, autosomal recessive 114",GRAP
"Deafness, autosomal recessive 115",SPNS2
"Deafness, autosomal recessive 116",CLDN9
"Deafness, autosomal recessive 117",CLRN2
"Deafness, autosomal recessive 12","ATP2B2, CDH23"
"Deafness, autosomal recessive 15",GIPC3
"Deafness, autosomal recessive 16",STRC
"Deafness, autosomal recessive 18",USH1C
"Deafness, autosomal recessive 18b",OTOG
"Deafness, autosomal recessive 1A","GJB2, GJB3, GJB6"
"Deafness, autosomal recessive 1b",GJB6
"Deafness, autosomal recessive 2",MYO7A
"Deafness, autosomal recessive 21",TECTA
"Deafness, autosomal recessive 22",OTOA
"Deafness, autosomal recessive 23",PCDH15
"Deafness, autosomal recessive 24",RDX
"Deafness, autosomal recessive 25",GRXCR1
"Deafness, autosomal recessive 26",GAB1
"Deafness, autosomal recessive 26, modifier of",METTL13
"Deafness, autosomal recessive 28",TRIOBP
"Deafness, autosomal recessive 29",CLDN14
"Deafness, autosomal recessive 3",MYO15A
"Deafness, autosomal recessive 30",MYO3A
"Deafness, autosomal recessive 31",WHRN
"Deafness, autosomal recessive 32",CDC14A
"Deafness, autosomal recessive 35",ESRRB
"Deafness, autosomal recessive 36, with or without vestibular involvement",ESPN
"Deafness, autosomal recessive 37",MYO6
"Deafness, autosomal recessive 39",HGF
"Deafness, autosomal recessive 4, with enlarged vestibular aqueduct","FOXI1, KCNJ10, SLC26A4"
"Deafness, autosomal recessive 42",ILDR1
"Deafness, autosomal recessive 44",ADCY1
"Deafness, autosomal recessive 48",CIB2
"Deafness, autosomal recessive 49",MARVELD2
"Deafness, autosomal recessive 53",COL11A2
"Deafness, autosomal recessive 57",PDZD7
"Deafness, autosomal recessive 59",PJVK
"Deafness, autosomal recessive 6",TMIE
"Deafness, autosomal recessive 61",SLC26A5
"Deafness, autosomal recessive 63",LRTOMT
"Deafness, autosomal recessive 66",DCDC2
"Deafness, autosomal recessive 67",LHFPL5
"Deafness, autosomal recessive 68",S1PR2
"Deafness, autosomal recessive 7",TMC1
"Deafness, autosomal recessive 70",PNPT1
"Deafness, autosomal recessive 74",MSRB3
"Deafness, autosomal recessive 76",SYNE4
"Deafness, autosomal recessive 77",LOXHD1
"Deafness, autosomal recessive 79",TPRN
"Deafness, autosomal recessive 8",TMPRSS3
"Deafness, autosomal recessive 84",PTPRQ
"Deafness, autosomal recessive 84b",OTOGL
"Deafness, autosomal recessive 86",TBC1D24
"Deafness, autosomal recessive 88",ELMOD3
"Deafness, autosomal recessive 89",KARS1
"Deafness, autosomal recessive 9",OTOF
"Deafness, autosomal recessive 91",SERPINB6
"Deafness, autosomal recessive 93",CABP2
"Deafness, autosomal recessive 94",NARS2
"Deafness, autosomal recessive 97",MET
"Deafness, autosomal recessive 98",TSPEAR
"Deafness, autosomal recessive 99",TMEM132E
"DEAFNESS, CATARACT, IMPAIRED INTELLECTUAL DEVELOPMENT, AND POLYNEUROPATHY",PSMC3
"Deafness, congenital heart defects, and posterior embryotoxon",JAG1
"Deafness, congenital, and adult-onset progressive leukoencephalopathy",KARS1
"Deafness, congenital, with onychodystrophy, autosomal dominant",ATP6V1B2
"Deafness, digenic, GJB2/GJB3","GJB2, GJB3"
"Deafness, enamel hypoplasia, nail defect syndrome",
"Deafness, nonsyndromic sensorineural, mitochondrial","MT-CO1, MT-RNR1, MT-TS1"
"Deafness, X-linked 1",PRPS1
"Deafness, X-linked 2","GJB2, GJB6, POU3F4"
"Deafness, X-linked 4",SMPX
"Deafness, X-linked 5",AIFM1
"Deafness, X-linked 6",COL4A6
"Deafness, Y-linked",
"Deafness, Y-linked 2",TBL1Y
Deeah syndrome,MADD
Deficiency of 2-methylbutyryl-CoA dehydrogenase,ACADSB
Deficiency of 3-hydroxyacyl-CoA dehydrogenase,HADH
Deficiency of acetyl-CoA acetyltransferase,ACAT1
Deficiency of alpha-mannosidase,MAN2B1
Deficiency of aromatic-L-amino-acid decarboxylase,DDC
Deficiency of beta-ureidopropionase,UPB1
Deficiency of bisphosphoglycerate mutase,BPGM
Deficiency of butyryl-CoA dehydrogenase,ACADS
Deficiency of butyrylcholine esterase,BCHE
Deficiency of cytochrome-b5 reductase,CYB5R3
Deficiency of ferroxidase,CP
Deficiency of galactokinase,GALK1
Deficiency of glycerol kinase,GK
Deficiency of guanidinoacetate methyltransferase,GAMT
Deficiency of hyaluronoglucosaminidase,HYAL1
Deficiency of hydroxymethylglutaryl-CoA lyase,HMGCL
Deficiency of iodide peroxidase,TPO
Deficiency of isobutyryl-CoA dehydrogenase,ACAD8
Deficiency of malonyl-CoA decarboxylase,MLYCD
Deficiency of phosphoserine phosphatase,PSPH
Deficiency of pyrroline-5-carboxylate reductase,ALDH4A1
Deficiency of ribose-5-phosphate isomerase,RPIA
Deficiency of steroid 11-beta-monooxygenase,CYP11B1
Deficiency of steroid 17-alpha-monooxygenase,CYP17A1
Deficiency of transaldolase,TALDO1
Deficiency of UDPglucose-hexose-1-phosphate uridylyltransferase,GALT
Dehydrated hereditary stomatocytosis 2,KCNN4
Dehydrated hereditary stomatocytosis with or without pseudohyperkalemia and/or perinatal edema,PIEZO1
Dejerine-Sottas disease,"EGR2, MPZ, PMP22, PRX"
Delpire-McNeill syndrome,SLC12A2
"Dendritic cell, monocyte, B lymphocyte, and natural killer lymphocyte deficiency",GATA2
"Dengue virus, susceptibility to",CD209
Dent disease,
Dent disease type 1,CLCN5
Dent disease type 2,OCRL
Dental anomalies and short stature,LTBP3
Dentatorubral-pallidoluysian atrophy,ATN1
Denticles,DSPP
"Dentin dysplasia, type 1",SMOC2
Dentinogenesis imperfecta type 2,DSPP
Dentinogenesis imperfecta type 3,DSPP
"Dermatitis, atopic",
"Dermatitis, atopic, 2",FLG
Dermatofibrosarcoma protuberans,PDGFB
Dermatofibrosis lenticularis disseminata,LEMD3
Dermatopathia pigmentosa reticularis,KRT14
Desanto-shinawi syndrome,WAC
Desbuquois dysplasia 1,CANT1
Desbuquois dysplasia 2,XYLT1
Desipramine response,CYP2D6
"Desmoid disease, hereditary",APC
Desmoid tumor,
Desmosterolosis,DHCR24
Deuteranopia,OPN1MW
Deutetrabenazine response,CYP2D6
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 6B,SCN1A
Developmental and epileptic encephalopathy 89,GAD1
Developmental and epileptic encephalopathy 91,PPP3CA
Developmental and epileptic encephalopathy 92,GABRB2
Developmental and epileptic encephalopathy 94,CHD2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 96,NSF
"Developmental and epileptic encephalopathy, 56",YWHAG
"Developmental and epileptic encephalopathy, 57",KCNT2
"Developmental and epileptic encephalopathy, 58",NTRK2
"Developmental and epileptic encephalopathy, 60",CNPY3
"Developmental and epileptic encephalopathy, 63",CPLX1
"Developmental and epileptic encephalopathy, 64",RHOBTB2
"Developmental and epileptic encephalopathy, 65",CYFIP2
"Developmental and epileptic encephalopathy, 66",PACS2
"Developmental and epileptic encephalopathy, 67",CUX2
"Developmental and epileptic encephalopathy, 68",TRAK1
"Developmental and epileptic encephalopathy, 69",CACNA1E
"Developmental and epileptic encephalopathy, 70",PHACTR1
"Developmental and epileptic encephalopathy, 71",GLS
"Developmental and epileptic encephalopathy, 72",NEUROD2
"Developmental and epileptic encephalopathy, 73",RNF13
"Developmental and epileptic encephalopathy, 74",GABRG2
"Developmental and epileptic encephalopathy, 75",PARS2
"Developmental and epileptic encephalopathy, 76",ACTL6B
"Developmental and epileptic encephalopathy, 77",PIGQ
"Developmental and epileptic encephalopathy, 78",GABRA2
"Developmental and epileptic encephalopathy, 79",GABRA5
"Developmental and epileptic encephalopathy, 80",PIGB
"Developmental and epileptic encephalopathy, 81",DMXL2
"Developmental and epileptic encephalopathy, 83",UGP2
"Developmental and epileptic encephalopathy, 84",UGDH
"Developmental and epileptic encephalopathy, 85, with or without midline brain defects",SMC1A
"Developmental and epileptic encephalopathy, 86",DALRD3
"Developmental and epileptic encephalopathy, 87",CDK19
"Developmental and epileptic encephalopathy, 88",MDH1
"Developmental and epileptic encephalopathy, 90",FGF13
Developmental delay and seizures with or without movement abnormalities,DHDDS
Developmental delay with dysmorphic facies and dental anomalies,SATB1
Developmental delay with or without dysmorphic facies and autism,TRRAP
"Developmental delay with short stature, dysmorphic features, and sparse hair",DPH1
Developmental delay with variable intellectual impairment and behavioral abnormalities,TCF20
"Developmental delay, impaired growth, dysmorphic facies, and axonal neuropathy",MORC2
"Developmental delay, intellectual disability, obesity, and dysmorphic features",PHIP
Developmental malformations-deafness-dystonia syndrome,ACTB
Dexlansoprazole response,CYP2C19
DFNA 3 Nonsyndromic Hearing Loss and Deafness,
Diabetes mellitus type 1,"HNF1A, IL6, ITPR3, PTPN22"
"Diabetes mellitus, insulin-dependent, 10",IL2RA
"Diabetes mellitus, insulin-dependent, 12",CTLA4
"Diabetes mellitus, insulin-dependent, 2",INS
"Diabetes mellitus, insulin-dependent, 20",HNF1A
"Diabetes mellitus, insulin-dependent, 22",CCR5
"Diabetes mellitus, insulin-dependent, 5",SUMO4
"Diabetes mellitus, ketosis-prone",PAX4
"Diabetes mellitus, neonatal, with congenital hypothyroidism",GLIS3
"Diabetes mellitus, noninsulin-dependent, 1",CAPN10
"Diabetes mellitus, noninsulin-dependent, 5",TBC1D4
"Diabetes mellitus, permanent neonatal, with cerebellar agenesis",PTF1A
Diamond-Blackfan anemia,
Diamond-Blackfan anemia-like,EPO
Diamond-Blackfan anemia 1,RPS19
Diamond-Blackfan anemia 10,RPS26
Diamond-Blackfan anemia 11,RPL26
Diamond-Blackfan anemia 12,RPL15
Diamond-Blackfan anemia 13,RPS29
Diamond-Blackfan anemia 14 with mandibulofacial dysostosis,TSR2
Diamond-Blackfan anemia 15 with mandibulofacial dysostosis,RPS28
Diamond-Blackfan anemia 16,RPL27
Diamond-Blackfan anemia 17,RPS27
Diamond-Blackfan anemia 18,RPL18
Diamond-Blackfan anemia 19,RPL35
Diamond-Blackfan anemia 20,RPS15A
Diamond-Blackfan anemia 3,RPS24
Diamond-Blackfan anemia 4,RPS17
Diamond-Blackfan anemia 5,RPL35A
Diamond-Blackfan anemia 6,RPL5
Diamond-Blackfan anemia 7,RPL11
Diamond-Blackfan anemia 8,RPS7
Diamond-Blackfan anemia 9,RPS10
Diaphanospondylodysostosis,BMPER
Diaphragmatic hernia 3,ZFPM2
Diaphyseal dysplasia,TGFB1
Diaphyseal medullary stenosis-bone malignancy syndrome,MTAP
"Diarrhea 10, protein-losing enteropathy type",PLVAP
"Diarrhea 11, malabsorptive, congenital",PERCC1
"DIARRHEA 12, WITH MICROVILLUS ATROPHY",STX3
"Diarrhea 4, malabsorptive, congenital",NEUROG3
"Diarrhea 5, with tufting enteropathy, congenital",EPCAM
Diarrhea 6,GUCY2C
Diarrhea 7,DGAT1
"Diarrhea 8, secretory sodium, congenital",SLC9A3
Diarrhea 9,WNT2B
Diastrophic dysplasia,SLC26A2
Dicarboxylic aminoaciduria,SLC1A1
DICER1-related pleuropulmonary blastoma cancer predisposition syndrome,DICER1
Diencephalic-mesencephalic junction dysplasia syndrome 1,PCDH12
Diencephalic-mesencephalic junction dysplasia syndrome 2,GSX2
Diets-Jongmans syndrome,KDM3B
Diffuse interstitial pulmonary fibrosis,
DiGeorge Syndrome,TBX1
"Digital arthropathy-brachydactyly, familial",TRPV4
"Digital clubbing, isolated congenital",HPGD
Digitotalar dysmorphism,
Dihydropteridine reductase deficiency,QDPR
Dihydropyrimidinase deficiency,DPYS
Dihydropyrimidine dehydrogenase deficiency,DPYD
Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome,LMNA
Dilated cardiomyopathy 1A,LMNA
Dilated cardiomyopathy 1AA,ACTN2
Dilated cardiomyopathy 1BB,DSG2
Dilated cardiomyopathy 1C,LDB3
Dilated cardiomyopathy 1CC,NEXN
Dilated cardiomyopathy 1DD,RBM20
Dilated cardiomyopathy 1E,SCN5A
Dilated cardiomyopathy 1EE,MYH6
Dilated cardiomyopathy 1FF,TNNI3
Dilated cardiomyopathy 1G,TTN
Dilated cardiomyopathy 1GG,SDHA
Dilated cardiomyopathy 1HH,BAG3
Dilated cardiomyopathy 1I,DES
Dilated cardiomyopathy 1II,CRYAB
Dilated cardiomyopathy 1J,EYA4
Dilated cardiomyopathy 1JJ,LAMA4
Dilated cardiomyopathy 1KK,MYPN
Dilated cardiomyopathy 1L,SGCD
Dilated cardiomyopathy 1M,CSRP3
Dilated cardiomyopathy 1O,ABCC9
Dilated cardiomyopathy 1P,PLN
Dilated cardiomyopathy 1R,ACTC1
Dilated cardiomyopathy 1S,MYH7
Dilated cardiomyopathy 1V,PSEN2
Dilated cardiomyopathy 1W,VCL
Dilated cardiomyopathy 1X,FKTN
Dilated cardiomyopathy 1Y,TPM1
Dilated cardiomyopathy 1Z,TNNC1
Dilated cardiomyopathy 2A,TNNI3
Dilated cardiomyopathy 3B,DMD
Dilated cardiomyopathy with woolly hair and keratoderma,DSP
Dimethylglycine dehydrogenase deficiency,DMGDH
Disorder due cytochrome p450 CYP2D6 variant,CYP2D6
Disorder of amino acid metabolism,
Disorder of cardiovascular system,ACE
Disorder of endocrine system,
Disorder of fatty acid metabolism,
Disorder of organic acid metabolism,
Disorder of the urea cycle metabolism,
Disordered steroidogenesis due to cytochrome p450 oxidoreductase deficiency,POR
Disorders of Intracellular Cobalamin Metabolism,"ABCD4, HCFC1, THAP11, ZNF143, "
Disseminated atypical mycobacterial infection,IFNGR1
Distal arthrogryposis,
Distal arthrogryposis type 1A,TPM2
Distal arthrogryposis type 1B,MYBPC1
Distal arthrogryposis type 2B,TNNI2
Distal arthrogryposis type 5D,ECEL1
Distal hereditary motor neuronopathy,
Distal hereditary motor neuronopathy 2D,FBXO38
Distal hereditary motor neuronopathy type 2A,HSPB8
Distal hereditary motor neuronopathy type 2B,HSPB1
Distal hereditary motor neuronopathy type 2C,HSPB3
Distal hereditary motor neuronopathy type 5,GARS1
Distal hereditary motor neuronopathy type 5B,REEP1
Distal hereditary motor neuronopathy type 7B,DCTN1
Distal myopathy with rimmed vacuoles,SQSTM1
"Distal myopathy, Tateyama type",CAV3
"Distal spinal muscular atrophy, autosomal recessive 2",SIGMAR1
"Distal spinal muscular atrophy, autosomal recessive 4",PLEKHG5
"Distal spinal muscular atrophy, congenital nonprogressive",TRPV4
"Distal spinal muscular atrophy, X-linked 3",ATP7A
Distichiasis-lymphedema syndrome,FOXC2
Dizygotic twins,FSHR
Dominant dystrophic epidermolysis bullosa with absence of skin,COL7A1
Donnai-Barrow syndrome,LRP2
DOORS syndrome,TBC1D24
Dopa-responsive dystonia,
Dopa-responsive dystonia due to sepiapterin reductase deficiency,SPR
"Doughnut lesions of skull, familial",SGMS2
Dowling-Degos disease,
Dowling-Degos disease 1,KRT5
Dowling-Degos disease 2,POFUT1
Dowling-degos disease 4,POGLUT1
Doxepin response,"CYP2C19, CYP2D6"
Doyne honeycomb retinal dystrophy,EFEMP1
DPAGT1-CDG,DPAGT1
Drash syndrome,WT1
Dronabinol response,CYP2C9
"DRUG METABOLISM, ALTERED, CES1-RELATED",CES1
"DRUG METABOLISM, ALTERED, CYP2C8-RELATED",CYP2C8
Duane-radial ray syndrome,SALL4
Duane retraction syndrome,
Duane retraction syndrome 2,CHN1
Duane retraction syndrome 3 with or without deafness,MAFB
Dubin-Johnson syndrome,ABCC2
Duchenne muscular dystrophy,DMD
Duffy Blood group system,ACKR1
Dyggve-Melchior-Clausen syndrome,DYM
Dyschromatosis universalis hereditaria 1,SASH1
Dyschromatosis universalis hereditaria 3,ABCB6
"Dysfibrinogenemia, congenital","FGA, FGB, FGG"
Dyskeratosis congenita,
Dyskeratosis congenita autosomal recessive 1,"NHP2, NOP10"
"Dyskeratosis congenita, autosomal dominant 1","TERC, TERT, TINF2"
"Dyskeratosis congenita, autosomal dominant 6",ACD
"Dyskeratosis congenita, autosomal dominant, 2",TERT
"Dyskeratosis congenita, autosomal dominant, 3",TINF2
"Dyskeratosis congenita, autosomal recessive 2",NHP2
"Dyskeratosis congenita, autosomal recessive 6",PARN
"Dyskeratosis congenita, autosomal recessive, 3",WRAP53
"Dyskeratosis congenita, autosomal recessive, 5",RTEL1
"Dyskeratosis congenita, X-linked",DKC1
"Dyskinesia, familial, with facial myokymia",ADCY5
"Dyskinesia, limb and orofacial, infantile-onset",PDE10A
"Dyskinesia, seizures, and intellectual developmental disorder",DEAF1
Dyslexia 1,DNAAF4
"DYSOSTOSIS MULTIPLEX, AIN-NAZ TYPE",TMEM251
Dystonia 1,TOR1A
Dystonia 12,ATP1A3
Dystonia 16,PRKRA
Dystonia 24,ANO3
Dystonia 25,GNAL
"Dystonia 26, myoclonic",KCTD17
Dystonia 27,COL6A3
"Dystonia 28, childhood-onset",KMT2B
DYSTONIA 30,VPS16
Dystonia 5,GCH1
Dystonia 9,SLC2A1
"Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities",MECR
Dystransthyretinemic euthyroidal hyperthyroxinemia,TTR
Dystrophic epidermolysis bullosa,COL7A1
Dystrophinopathies,DMD
Early-onset autosomal dominant Alzheimer disease,
Early-onset parkinsonism-intellectual disability syndrome,RAB39B
Early-onset progressive encephalopathy-hearing loss-pons hypoplasia-brain atrophy syndrome,TRAPPC12
Early infantile epileptic encephalopathy 10,PNKP
Early infantile epileptic encephalopathy 11,SCN2A
Early infantile epileptic encephalopathy 12,PLCB1
Early infantile epileptic encephalopathy 13,SCN8A
Early infantile epileptic encephalopathy 14,KCNT1
Early infantile epileptic encephalopathy 15,ST3GAL3
Early infantile epileptic encephalopathy 16,TBC1D24
Early infantile epileptic encephalopathy 17,GNAO1
Early infantile epileptic encephalopathy 18,SZT2
Early infantile epileptic encephalopathy 2,CDKL5
Early infantile epileptic encephalopathy 21,NECAP1
Early infantile epileptic encephalopathy 34,SLC12A5
Early infantile epileptic encephalopathy 4,STXBP1
Early infantile epileptic encephalopathy 5,SPTAN1
Early infantile epileptic encephalopathy 55,PIGP
Early infantile epileptic encephalopathy 59,GABBR2
Early Infantile Epileptic Encephalopathy 6,SCN1A
Early infantile epileptic encephalopathy 61,ADAM22
Early infantile epileptic encephalopathy 62,SCN3A
Early infantile epileptic encephalopathy 7,KCNQ2
Early infantile epileptic encephalopathy 8,ARHGEF9
Early infantile epileptic encephalopathy 9,PCDH19
Early myoclonic encephalopathy,
EAST syndrome,KCNJ10
Ectodermal dysplasia-syndactyly syndrome 1,NECTIN4
"Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant","EDAR, EDARADD"
"Ectodermal dysplasia 10B, hypohidrotic/hair/tooth type, autosomal","EDAR, EDARADD"
"Ectodermal dysplasia 11a, hypohidrotic/hair/tooth type, autosomal dominant",EDARADD
"Ectodermal dysplasia 11b, hypohidrotic/hair/tooth type, autosomal recessive",EDARADD
"Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type",KDF1
"Ectodermal dysplasia 13, hair/tooth type",KREMEN1
"Ectodermal dysplasia 14, hair/tooth type with or without hypohidrosis",TSPEAR
"Ectodermal dysplasia 15, hypohidrotic/hair type",CST6
"Ectodermal dysplasia 4, hair/nail type",KRT85
"Ectodermal dysplasia 7, hair/nail type",KRT74
